ID	Choice	Distance	School_location	Grade	Age	Gender	CarAvail	Season	CB_location	Leistung
5316	3	2.42022	0	9	15	0	0	1	0	489.67
5317	2	1.92778	0	7	13	0	0	1	0	377.03
5318	3	5.25135	0	7	13	0	0	1	0	139.98
5319	3	5.82672	0	10	15	0	0	1	0	159.17
5320	3	5.72471	0	7	14	0	1	1	0	147.45
5321	3	5.2726	0	11	18	0	0	1	0	152.78
5322	3	2.33123	0	7	14	0	0	1	0	122.39
5323	2	2.08918	0	12	17	0	0	1	0	133.47
5324	2	2.33123	0	9	15	0	0	1	0	129.97
5325	2	2.21281	0	10	16	0	0	1	0	103.90
5326	2	2.49869	0	10	15	0	0	1	0	146.66
5327	2	2.21281	0	10	15	0	0	1	0	99.71
5328	3	4.29754	0	7	13	0	0	1	0	137.66
5329	3	2.44953	0	8	14	0	0	1	0	113.24
5330	3	4.47633	0	9	15	0	0	1	0	135.87
5331	3	3.12197	0	8	14	0	0	1	0	100.24
5332	3	3.12197	0	8	14	0	0	1	0	100.24
5333	3	2.9505	0	7	13	0	0	1	0	107.09
5334	2	2.09944	0	5	11	0	0	1	0	65.54
5335	3	2.09944	0	7	13	0	0	1	0	75.66
5336	3	3.62691	0	12	18	0	0	1	0	127.60
5337	3	3.81453	0	10	15	0	0	1	0	126.71
5338	3	4.23958	0	10	16	0	0	1	0	132.95
5339	3	3.27812	0	7	13	0	0	1	0	79.23
5340	3	5.02629	0	7	13	0	0	1	0	199.66
5341	3	4.39801	0	7	12	0	0	1	0	116.52
5342	3	2.55282	0	9	15	0	0	1	0	143.91
5343	3	2.55282	0	5	11	0	0	1	0	96.63
5344	3	3.12197	0	11	17	0	0	1	0	112.43
5345	3	3.12197	0	7	13	0	0	1	0	92.04
5346	3	2.55282	0	8	14	0	0	1	0	135.75
5347	3	3.12197	0	5	11	0	0	1	0	79.16
5348	3	2.81612	0	9	15	0	0	1	0	116.99
5349	3	4.40252	0	9	15	0	0	1	0	115.20
5350	2	3.74661	0	10	16	0	0	1	0	113.91
5351	3	2.80192	0	6	12	0	0	1	0	95.20
5352	3	2.42662	0	9	15	0	1	1	0	119.40
5353	2	2.96022	0	9	14	0	0	1	0	118.76
5354	4	7.90334	0	12	18	0	0	1	0	325.55
5355	4	8.65964	0	8	14	0	1	1	0	232.64
5356	3	14.1158	0	11	16	0	0	1	1	1853.14
5357	2	2.34745	0	9	14	0	1	1	0	90.01
5358	3	2.89665	0	7	13	0	0	1	0	120.71
5359	3	5.62035	0	12	18	0	0	1	0	160.89
5360	3	5.10788	0	11	17	0	0	1	0	167.36
5361	3	3.38476	0	8	15	0	0	1	0	134.60
5362	3	5.53887	0	7	13	0	0	1	0	205.52
5363	3	5.22411	0	9	14	0	0	1	0	102.99
5364	3	2.34745	0	11	17	0	0	1	0	101.54
5365	3	4.82191	0	5	11	0	0	1	0	134.12
5366	3	6.08576	0	8	14	0	0	1	0	131.60
5367	3	5.53887	0	5	11	0	0	1	0	175.05
5368	3	5.26516	0	5	11	0	0	1	0	68.71
5369	3	4.45003	0	8	15	0	0	1	0	141.16
5370	4	4.10086	0	8	14	0	0	1	0	115.45
5371	4	5.26516	0	10	16	0	0	1	0	90.52
5372	3	5.10788	0	10	16	0	1	1	0	165.45
5373	3	5.26516	0	9	14	0	0	1	0	83.09
5374	3	2.89665	0	7	13	0	0	1	0	120.71
5375	3	2.63504	0	11	17	0	0	1	0	152.09
5376	3	2.78798	0	7	13	0	0	1	0	114.61
5377	3	2.70316	0	10	16	0	0	1	0	122.17
5378	3	2.7425	0	6	12	0	0	1	0	90.26
5379	3	2.7425	0	7	12	0	0	1	0	90.26
5380	3	2.78798	0	11	17	0	0	1	0	140.24
5381	3	2.78798	0	10	15	0	0	1	0	132.58
5382	3	2.70316	0	12	18	0	0	1	0	128.76
5383	3	2.89665	0	7	13	0	0	1	0	120.71
5384	3	2.34745	0	10	17	0	0	1	0	101.54
5385	3	2.34745	0	8	14	0	0	1	0	92.53
5386	2	2.25171	0	9	15	0	0	1	0	89.17
5387	3	5.10788	0	5	11	0	0	1	0	118.11
5388	3	5.10788	0	5	11	0	0	1	0	118.11
5389	3	3.32234	0	11	17	0	0	1	0	113.21
5390	3	3.32234	0	10	17	0	0	1	0	113.21
5391	3	6.67136	0	6	11	0	0	1	0	60.17
5392	3	4.54935	0	11	16	0	0	1	0	95.44
5393	3	9.432	0	7	13	0	0	1	1	1349.23
5394	3	9.90529	0	6	12	0	0	1	1	134.92
